gw_run,BNS_distance,run_duration,increased_volume_over_O3,n_BBH,n_BBH_up,n_BBH_down,n_BHNS,n_BHNS_up,n_BHNS_down,n_BNS,n_BNS_up,n_BNS_down,n_total,r_BBH,r_BHNS,r_BNS,r_total,note
unit,Mpc,months,#,per run,per run,per run,per run,per run,per run,per run,per run,per run,per run ,per year,per year,per year,per year,# based on GWOSC GWTC catalog numbers
O3,120,11,1,85,85,85,3,3,3,2,2,2,266,,,,,# based on GWOSC GWTC catalog numbers
O4,160,18,2.37037037,290.9090909,872.7272727,96.96969697,10.26737968,30.80213904,3.422459893,6.844919786,20.53475936,2.281639929,1311.942959,193.9393939,6.844919786,4.563279857,205.3475936,# based on increased volume and scaling with O3
O5,282.5,24,13.04702872,2134.968336,6404.905007,711.6561119,75.35182361,226.0554708,25.11727454,50.23454908,150.7036472,16.74484969,9628.288573,1067.484168,37.67591181,25.11727454,1130.277354,# based on increased volume and scaling with O3
Voyager_Asharp,,,,7500,22500,2500,264.7058824,794.1176471,88.23529412,176.4705882,529.4117647,58.82352941,33823.52941,,,,,"# based on the factor 100 compared to O3, from https://arxiv.org/pdf/2001.11173.pdf  (which is a factor 50 compared to O4)"
CE_ET,,60,,348050,750000,155000,147310,2200000,9500,197920,6000000,4550,3807780,69610,29462,39584,138656,"# Numbers from ET+2CE in Table 4 https://arxiv.org/abs/2207.02771, factor 5 for a 5 year timeline. The upper and lower limits are from the highest and lowest numbers in our paper table "
